Predicted_Label,Label_Confidence,Vacancy_File,Resume_File,Similarity,Combined_Score
"Специалист IT с опытом работы с Python, машинным обучением и",0.9819,Description of Specialist IT.docx,Resume 2 Specialist IT.docx,0.9642,0.9467
"Специалист IT с опытом работы с Python, машинным обучением и",0.9959,Description of Specialist IT.docx,Resume 1.docx,0.9305,0.9267
